Zhe Gan
Ricardo Henao
Deng Cai
Hai Zhao
Zhiwu Lu
Liwei Wang
Jingkuan Song
Rahul Mazumder
Jacob Devlin
Margaret Mitchell
Xiaodong He
Lucy Vanderwende
Dino Sejdinovic
Zoltan Szabo
Ngoc Thang Vu
Hannes Nickisch
Ding-Xuan Zhou
Vasilis Syrgkanis
Jordi Pont-Tuset
Jurgen Schmidhuber
Alexander Kolesnikov
Vittorio Ferrari
Christoph H. Lampert
Waheed U. Bajwa
Dustin G. Mixon
Yongxin Yang
Timothy Hospedales
Ulrich Paquet
Ole Winther
Serge Belongie
Aditya Gopalan
Jialei Wang
Aurelie C. Lozano
Wesley Tansey
Pradeep Ravikumar
Raja Giryes
Miguel R. D. Rodrigues
Jun Liu
Guoqiang Zhong
Junyu Dong
Jerome Lang
Konrad Schindler
Eneko Agirre
David Martinez
Kun He
Stan Sclaroff
Andrea Vedaldi
David L Poole
Ted Pedersen
Trevor Hastie
Ian Lane
Sharath Adavanne
Tuomas Virtanen
Hans Tompits
Yezhou Yang
Cornelia Fermuller
Yiannis Aloimonos
Pradeep Dubey
Xiaohua Huang
Xin Liu
Battista Biggio
Fabio Roli
V. Schetinin
Yi Gai
Bhaskar Krishnamachari
Mingyan Liu
Antoine Bordes
Nicolas Usunier
Sumit Chopra
Jason Weston
Cristina Garcia-Cardona
Alexander Rakhlin
Karthik Sridharan
Hod Lipson
Dustin Tran
David M. Blei
Jun Wang
Alexandros Kalousis
Paul Christiano
Sanjiv Kumar
Shih-Fu Chang
Carsten Gottschlich
Junyan Wang
Amanda Whitbrook
Nir Ailon
Ricardo Silva
Jack Valmadre
Joao F. Henriques
J. J. Merelo
Carlos Cotta
Sanjay Chawla
C. V. Jawahar
Riccardo Pucella
Liu Liu
Chao Wang
Yuan Xie
Hanie Sedghi
Zeyuan Allen-Zhu
Elad Hazan
Damien Teney
Stephen Gould
Pichao Wang
Wanqing Li
Maosong Sun
Yang Liu
Tanmoy Chakraborty
Dipankar Das
Upal Mahbub
William Zhu
Guy Lebanon
Shuyang Gao
Debotosh Bhattacharjee
Mita Nasipuri
Dipak Kumar Basu
Hyungtae Lee
Heesung Kwon
Ryan R. Curtin
Nishant A. Mehta
Alexander G. Gray
Martin Gerlach
Eduardo G. Altmann
Maciej Wielgosz
Laurent Itti
Jeff M. Phillips
Suresh Venkatasubramanian
Jun Tani
Angelo Cangelosi
Yutaka Matsuo
Lidong Bing
Wai Lam
Fan Zhang
Jie Liu
Jong Chul Ye
Michael Milford
Ingo Steinwart
Chris Russell
John K. Tsotsos
Li Wang
Jim Jing-Yan Wang
Akshay Krishnamurthy
Aarti Singh
Babak Shahbaba
Emile Richard
Nicolas Vayatis
Roozbeh Rajabi
Hassan Ghassemian
Varun Kanade
Tatiana Tommasi
Barbara Caputo
Julian Yarkony
Marco Tagliasacchi
Xi Li
Ming-Hsuan Yang
Fei Wu
Yueting Zhuang
Haibin Ling
Jingdong Wang
Ying Zhang
Taiji Suzuki
Jiaji Huang
Adam Coates
Alexander M. Rush
Michael Collins
Xiao Fu
Kejun Huang
Wing-Kin Ma
Nicholas D. Sidiropoulos
Jieping Ye
Suchi Saria
Uwe Franke
Haizhang Zhang
Amos Storkey
Vincent Dumoulin
Biswa Sengupta
Angshul Majumdar
Marco Zaffalon
Michael Bloodgood
Kanji Tanaka
Yannis Avrithis
Frederic Jurie
Gal Elidan
Joris M. Mooij
Bernhard Schoelkopf
Amar Isli
Pascal Frossard
Ian J. Goodfellow
Dumitru Erhan
Yingbo Zhou
John Shawe-Taylor
James Bergstra
Bing Xu
Phillip Isola
Alexei A. Efros
Ella Gale
Ben de Lacy Costello
Andrew Adamatzky
Christopher Re
Michael Kearns
James P. Crutchfield
Warren B. Powell
Wenguan Wang
Ziqiang Cao
Wenjie Li
Sujian Li
Jonathan H. Huggins
James Zou
Vicente Julian
Nicolas Chopin
Joshua B. Tenenbaum
Ofer Dekel
Yuval Peres
Yishay Mansour
Samuel Kaski
Ahmed M. Alaa
Mihaela van der Schaar
Paul Mineiro
Nikos Karampatziakis
Jorg Lucke
Yu Tsao
Hsin-Min Wang
Matti Jarvisalo
Marc Brockschmidt
Daniel Tarlow
Niloy J. Mitra
Christopher Kanan
Daniel Russo
Leslie N. Smith
Brendan van Rooyen
Aditya Krishna Menon
Abdul Sattar
Nikos Komodakis
Nikos Paragios
Emily B. Fox
Christopher D. Manning
Guang Cheng
Rahul Kidambi
Bert Huang
Lise Getoor
Sebastien Lefevre
Guangcan Liu
Yi Ma
Frank Wood
Cheng Zhang
Hedvig Kjellstrom
Hyokun Yun
Zachary C. Lipton
Diego Klabjan
Max Welling
Hirotaka Hachiya
Thomas Demeester
Byoung-Tak Zhang
Matthijs Douze
Jakob Verbeek
Herve Jegou
Geoffrey E. Hinton
Tsachy Weissman
Ali Borji
Razvan Pascanu
Oriol Vinyals
Geoffrey I. Webb
Peter J. Stuckey
Pierre Vandergheynst
John Langford
Wensheng Zhang
Jean-Philippe Vert
Karin Schnass
David Duvenaud
Amit Singer
Anthony Dick
Thomas S. Richardson
Claudio Gentile
Giovanni Zappella
Yang Wang
Qiang Wu
Arnold Wiliem
Conrad Sanderson
Rafael Penaloza
Piyush Rai
Lizhen Qu
Nathan Schneider
Timothy Baldwin
Kai Chen
Adam Kalai
Michael Georgiopoulos
Georgios C. Anagnostopoulos
Kirthevasan Kandasamy
Joseph Wang
Venkatesh Saligrama
Cun-Hui Zhang
David A. Knowles
Alex Pappachen James
Amit Daniely
Yoram Singer
Kunal Talwar
Yuandong Tian
C. Lawrence Zitnick
Justin Bayer
Christian Osendorfer
Nenghai Yu
Elizaveta Levina
Sundararajan Sellamanickam
Mohammad H. Mahoor
Roni Khardon
Pavlos Protopapas
Ali H. Sayed
Jaime Carbonell
Yu Cheng
Shuangfei Zhai
Yan Liu
Beilun Wang
Yanjun Qi
Aaron Roth
Jonathan Ullman
Sivaraman Balakrishnan
Larry Wasserman
James Hensman
Marcel Simon
Erik Rodner
Joachim Denzler
Yurong Chen
Yvain Queau
Michael Breuss
Shuchang Zhou
Xinyu Zhou
Frederick Eberhardt
Wei Xu
Firouz Abdullah Al-Wassai
N. V. Kalyankar
Pantelis Bouboulis
Sergios Theodoridis
Emanuel Diamant
Jianhua Yao
Holger R. Roth
Ronald M. Summers
Adam Smith
Ahmadreza Baghaie
Zeyun Yu
Trevor Campbell
Tamara Broderick
Heike Adel
Hinrich Schutze
Shankar Vembu
Charles Elkan
Manmohan Chandraker
Jia Li
Jie Wang
Amos J. Storkey
Christopher K. I. Williams
Edoardo M. Airoldi
Huchuan Lu
Tao Mei
Vijay Badrinarayanan
Bamdev Mishra
Nathan Srebro
Chao Zhang
Pranjal Awasthi
Vivek Srikumar
Mahmoud Khademi
Bo Chen
Mingyuan Zhou
Massimiliano Di Ventra
Luis M. de Campos
Tao Wang
Walterio Mayol-Cuevas
Tatsuya Harada
Duc Phu Chau
Francois Bremond
Monique Thonnat
David Cox
Bastian Leibe
H. Owladeghaffari
Miao Fan
Edward Johns
Gabriel J. Brostow
Chandra Sekhar Seelamantula
Angeliki Lazaridou
Marco Baroni
Dacheng Tao
Seunghoon Hong
Bohyung Han
Honglak Lee
James J. Little
Esra Erdem
Peter Schuller
Minghao Yin
A. Taylan Cemgil
Hao Ye
Tat-Seng Chua
Mathias Drton
Simo Sarkka
A. Enis Cetin
Keunwoo Choi
George Fazekas
Mark Sandler
Gregory M. Provan
Xiao Liu
Zhenyao Zhu
Alaa Saade
Florent Krzakala
Moshe Y. Vardi
Walter Daelemans
Erik Learned-Miller
Mingbo Ma
Kai Zhao
Liang Huang
Ping Tan
Zhiting Hu
Soren Kaae Sonderby
Sungroh Yoon
Guy Bresler
Hanxiao Liu
Yiming Yang
Eduard Hovy
Yanwei Fu
Leonid Sigal
Anand Rangarajan
Siddhartha Banerjee
Prasenjit Mitra
Yang Xiang
Shixiang Gu
Andreas Maier
Michael M. Bronstein
Junjie Yan
John Duchi
Alekh Agarwal
Abhinav Gupta
Max Henrion
Kilian Weinberger
Steven Bird
Allou Same
Gerard Govaert
Patrice Aknin
David Heckerman
Chen Chen
Baochang Zhang
Vittorio Murino
John R. Hershey
Yorick Wilks
Michael S. K. M. Wong
Rami Al-Rfou
Guillaume Alain
Dzmitry Bahdanau
Nicolas Ballas
